UserName,FullName,CPF,Altura,Nascimento
Leonardo,Leonardo vita milanez,16458978569,175,Masculino,31/12/1995
DARK,Thiago da Silva,15648998456,188,Masculino,15/08/1990
MasterEmployee,Felipe dos Santos,14555475556,160,Masculino,28/10/2004
Escaper,Mario do Rosário,47885665415,178,Masculino,04/05/1979
RosaZhoque,Marcia Felipa,14578554255,169,Masculino,30/03/1985
Leonardo,Leonardo vita milanez,16458978569,175,Masculino,31/12/1996
DARK,Thiago da Silva,15648998456,188,Feminino,15/08/1991
MasterEmployee,Felipe dos Santos,14555475556,160,Feminino,28/10/2005
Escaper,Mario do Rosário,47885665415,178,Feminino,04/05/1980
RosaZhoque,Marcia Felipa,14578554255,169,Feminino,30/03/1986
